Symbol,Name,Sector,Price,52 Week High,52 Week Low,Dividend Yield,Earnings per Share,Sales per Share,Book Value per Share,EBITDA,Market Cap
LB,L Brands Inc.,Consumer Discretionary,47.77,63.1,35,4.886988,3.98,27.99956884,0.034039248,2329000000,13862042842
PM,Philip Morris International,Consumer Staples,100.39,123.55,96.66,4.328479,4.48,36.40658089,0.076128005,11802000000,1.54E+11
HRB,Block H&R,Financials,25.19,31.8,19.85,3.7296038,1.92,12.47742769,0.122632783,894754000,5381433872
CL,Colgate-Palmolive,Consumer Staples,68.95,77.91,66.26,2.2801766,2.28,17.23432458,0.291641993,4064000000,61616643498
YUM,Yum! Brands Inc,Consumer Discretionary,76.3,86.93,62.85,1.7970798,4.07,12.08495333,0.359769898,2289000000,27003303098
ADSK,Autodesk Inc,Information Technology,104.81,131.1,81.75,0,-2.61,6.349496753,0.467630393,-378100000,24348294504
AMD,Advanced Micro Devices Inc,Information Technology,11.22,15.65,9.7,0,0.03,5.319563786,0.52258966,339000000,11191663795
KMB,Kimberly-Clark,Consumer Staples,111.69,136.21,109.67,3.5599859,6.41,50.88884157,0.736449954,4033000000,39449596000
IDXX,IDEXX Laboratories,Health Care,169.28,198.73,140.63,0,2.94,21.22566691,0.862749095,478307000,15422885020
MCD,McDonald's Corp.,Consumer Discretionary,158.97,178.7,124.36,2.437994,6.36,27.54999491,1.088313822,10515400000,1.32E+11
WU,Western Union Co,Information Technology,18.81,22.21,18.39,3.5915854,0.51,8.447212779,1.486956522,694600000,8951609207
CHK,Chesapeake Energy,Energy,2.82,6.59,2.8,0,-6.44,6.917667782,1.532608696,1470000000,2626102121
UPS,United Parcel Service,Industrials,109.28,135.53,102.12,2.9666696,5.62,74.11517884,1.689026275,7919000000,96436356833
SBAC,SBA Communications,Real Estate,159.85,177.67,103.51,0,0.62,10.52392004,1.755821617,1074240000,19572031314
BA,Boeing Company,Industrials,329.66,361.45,163.69,1.9648397,13.47,152.8992345,1.802799956,12476000000,2.06E+11
MCO,Moody's Corp,Financials,152.14,167.23,106.48,1.114065,1.35,15.31666146,2.060400867,1238000000,30189978000
